image_path,ocr_text,yolo_classes,yolo_confs,topic
dataset/raw/bag/bag_01.jpg,,,,bags
dataset/raw/bag/bag_02.jpg,,,,bags
dataset/raw/bag/bag_03.jpg,,,,bags
dataset/raw/bag/bag_04.jpg,,,,bags
dataset/raw/bag/bag_05.jpg,,,,bags
dataset/raw/bag/bag_06.jpg,,,,bags
dataset/raw/bag/bag_07.jpg,,,,bags
dataset/raw/bag/bag_08.jpg,,,,bags
dataset/raw/bag/bag_09.png,,,,bags
dataset/raw/bag/bag_10.png,,,,bags
dataset/raw/bag/bag_11.png,,,,bags
dataset/raw/bag/bag_12.png,,,,bags
dataset/raw/bag/bag_13.png,,,,bags
dataset/raw/bag/bag_14.png,,,,bags
dataset/raw/bag/bag_15.png,,,,bags
dataset/raw/bag/bag_16.png,,,,bags
dataset/raw/bag/bag_17.webp,,,,bags
dataset/raw/bag/bag_18.webp,,,,bags
dataset/raw/bag/bag_19.webp,,,,bags
dataset/raw/bag/bag_20.webp,,,,bags
dataset/raw/bag/bag_21.webp,,,,bags
dataset/raw/bag/bag_22.webp,,,,bags
dataset/raw/bag/bag_23.webp,,,,bags
dataset/raw/bag/bag_24.webp,,,,bags
dataset/raw/bag/bag_25.webp,,,,bags
dataset/raw/chair/chair_01.jpg,,,,chairs
dataset/raw/chair/chair_02.jpg,,,,chairs
dataset/raw/chair/chair_03.jpg,,,,chairs
dataset/raw/chair/chair_04.jpg,,,,chairs
dataset/raw/chair/chair_05.jpg,,,,chairs
dataset/raw/chair/chair_06.jpg,,,,chairs
dataset/raw/chair/chair_07.jpg,,,,chairs
dataset/raw/chair/chair_08.jpg,,,,chairs
dataset/raw/chair/chair_09.jpg,,,,chairs
dataset/raw/chair/chair_10.jpg,,,,chairs
dataset/raw/chair/chair_11.jpg,,,,chairs
dataset/raw/chair/chair_12.jpg,,,,chairs
dataset/raw/chair/chair_13.jpg,,,,chairs
dataset/raw/chair/chair_14.jpg,,,,chairs
dataset/raw/chair/chair_15.jpg,,,,chairs
dataset/raw/chair/chair_16.jpg,,,,chairs
dataset/raw/chair/chair_17.jpg,,,,chairs
dataset/raw/chair/chair_18.jpg,,,,chairs
dataset/raw/chair/chair_19.jpg,,,,chairs
dataset/raw/chair/chair_20.jpg,,,,chairs
dataset/raw/chair/chair_21.jpg,,,,chairs
dataset/raw/chair/chair_22.jpg,,,,chairs
dataset/raw/chair/chair_23.jpg,,,,chairs
dataset/raw/chair/chair_24.jpg,,,,chairs
dataset/raw/chair/chair_25.jpg,,,,chairs
dataset/raw/chair/chair_26.jpg,,,,chairs
dataset/raw/chair/chair_27.jpg,,,,chairs
dataset/raw/chair/chair_28.jpg,,,,chairs
dataset/raw/chair/chair_29.jpg,,,,chairs
dataset/raw/chair/chair_30.jpg,,,,chairs
dataset/raw/chair/chair_31.jpg,,,,chairs
dataset/raw/chair/chair_32.jpg,,,,chairs
dataset/raw/chair/chair_33.jpg,,,,chairs
dataset/raw/chair/chair_34.jpg,,,,chairs
dataset/raw/chair/chair_35.jpg,,,,chairs
dataset/raw/chair/chair_36.jpg,,,,chairs
dataset/raw/chair/chair_37.jpg,,,,chairs
dataset/raw/chair/chair_38.jpg,,,,chairs
dataset/raw/chair/chair_39.jpg,,,,chairs
dataset/raw/chair/chair_40.jpg,,,,chairs
dataset/raw/chair/chair_41.jpg,,,,chairs
dataset/raw/chair/chair_42.jpg,,,,chairs
dataset/raw/chair/chair_43.jpg,,,,chairs
dataset/raw/chair/chair_44.jpg,,,,chairs
dataset/raw/chair/chair_45.jpg,,,,chairs
dataset/raw/chair/chair_46.jpg,,,,chairs
dataset/raw/chair/chair_47.jpg,,,,chairs
dataset/raw/clock/clock_01.webp,,,,clocks
dataset/raw/clock/clock_02.webp,,,,clocks
dataset/raw/clock/clock_03.webp,,,,clocks
dataset/raw/clock/clock_04.jpg,,,,clocks
dataset/raw/clock/clock_05.jpg,,,,clocks
dataset/raw/clock/clock_06.jpg,,,,clocks
dataset/raw/clock/clock_07.jpg,,,,clocks
dataset/raw/clock/clock_08.jpg,,,,clocks
dataset/raw/clock/clock_09.jpg,,,,clocks
dataset/raw/clock/clock_10.jpg,,,,clocks
dataset/raw/clock/clock_11.jpg,,,,clocks
dataset/raw/clock/clock_12.png,,,,clocks
dataset/raw/clock/clock_13.png,,,,clocks
dataset/raw/clock/clock_14.png,,,,clocks
dataset/raw/clock/clock_15.png,,,,clocks
dataset/raw/clock/clock_16.png,,,,clocks
dataset/raw/clock/clock_17.png,,,,clocks
dataset/raw/clock/clock_18.png,,,,clocks
dataset/raw/clock/clock_19.png,,,,clocks
dataset/raw/clock/clock_20.webp,,,,clocks
dataset/raw/clock/clock_21.webp,,,,clocks
dataset/raw/clock/clock_22.webp,,,,clocks
dataset/raw/clock/clock_23.webp,,,,clocks
dataset/raw/clock/clock_24.webp,,,,clocks
dataset/raw/clock/clock_25.webp,,,,clocks
dataset/raw/cup/cup_01.webp,,,,cups
dataset/raw/cup/cup_02.jpg,,,,cups
dataset/raw/cup/cup_03.jpg,,,,cups
dataset/raw/cup/cup_04.jpg,,,,cups
dataset/raw/cup/cup_05.jpg,,,,cups
dataset/raw/cup/cup_06.jpg,,,,cups
dataset/raw/cup/cup_07.jpg,,,,cups
dataset/raw/cup/cup_08.jpg,,,,cups
dataset/raw/cup/cup_09.jpg,,,,cups
dataset/raw/cup/cup_10.png,,,,cups
dataset/raw/cup/cup_11.png,,,,cups
dataset/raw/cup/cup_12.png,,,,cups
dataset/raw/cup/cup_13.png,,,,cups
dataset/raw/cup/cup_14.png,,,,cups
dataset/raw/cup/cup_15.png,,,,cups
dataset/raw/cup/cup_16.png,,,,cups
dataset/raw/cup/cup_17.png,,,,cups
dataset/raw/cup/cup_18.webp,,,,cups
dataset/raw/cup/cup_19.webp,,,,cups
dataset/raw/cup/cup_20.webp,,,,cups
dataset/raw/cup/cup_21.webp,,,,cups
dataset/raw/cup/cup_22.webp,,,,cups
dataset/raw/cup/cup_23.webp,,,,cups
dataset/raw/cup/cup_24.webp,,,,cups
dataset/raw/cup/cup_25.webp,,,,cups
dataset/raw/cutlery/cutlery_01.webp,,,,cutlery
dataset/raw/cutlery/cutlery_02.webp,,,,cutlery
dataset/raw/cutlery/cutlery_03.jpg,,,,cutlery
dataset/raw/cutlery/cutlery_04.jpg,,,,cutlery
dataset/raw/cutlery/cutlery_05.jpg,,,,cutlery
dataset/raw/cutlery/cutlery_06.jpg,,,,cutlery
dataset/raw/cutlery/cutlery_07.jpg,,,,cutlery
dataset/raw/cutlery/cutlery_08.jpg,,,,cutlery
dataset/raw/cutlery/cutlery_09.jpg,,,,cutlery
dataset/raw/cutlery/cutlery_10.jpg,,,,cutlery
dataset/raw/cutlery/cutlery_11.png,,,,cutlery
dataset/raw/cutlery/cutlery_12.png,,,,cutlery
dataset/raw/cutlery/cutlery_13.png,,,,cutlery
dataset/raw/cutlery/cutlery_14.png,,,,cutlery
dataset/raw/cutlery/cutlery_15.png,,,,cutlery
dataset/raw/cutlery/cutlery_16.png,,,,cutlery
dataset/raw/cutlery/cutlery_17.png,,,,cutlery
dataset/raw/cutlery/cutlery_18.png,,,,cutlery
dataset/raw/cutlery/cutlery_19.webp,,,,cutlery
dataset/raw/cutlery/cutlery_20.webp,,,,cutlery
dataset/raw/cutlery/cutlery_21.webp,,,,cutlery
dataset/raw/cutlery/cutlery_22.webp,,,,cutlery
dataset/raw/cutlery/cutlery_23.webp,,,,cutlery
dataset/raw/cutlery/cutlery_24.webp,,,,cutlery
dataset/raw/cutlery/cutlery_25.webp,,,,cutlery
dataset/raw/glasses/glasses_01.jpg,,,,glasses
dataset/raw/glasses/glasses_02.jpg,,,,glasses
dataset/raw/glasses/glasses_03.jpg,,,,glasses
dataset/raw/glasses/glasses_04.jpg,,,,glasses
dataset/raw/glasses/glasses_05.jpg,,,,glasses
dataset/raw/glasses/glasses_06.jpg,,,,glasses
dataset/raw/glasses/glasses_07.jpg,,,,glasses
dataset/raw/glasses/glasses_08.jpg,,,,glasses
dataset/raw/glasses/glasses_09.jpg,,,,glasses
dataset/raw/glasses/glasses_10.jpg,,,,glasses
dataset/raw/glasses/glasses_11.jpg,,,,glasses
dataset/raw/glasses/glasses_12.jpg,,,,glasses
dataset/raw/glasses/glasses_13.jpg,,,,glasses
dataset/raw/glasses/glasses_14.jpg,,,,glasses
dataset/raw/glasses/glasses_15.jpg,,,,glasses
dataset/raw/glasses/glasses_16.jpg,,,,glasses
dataset/raw/glasses/glasses_17.jpg,,,,glasses
dataset/raw/glasses/glasses_18.jpg,,,,glasses
dataset/raw/glasses/glasses_19.jpg,,,,glasses
dataset/raw/glasses/glasses_20.jpg,,,,glasses
dataset/raw/glasses/glasses_21.jpg,,,,glasses
dataset/raw/glasses/glasses_22.jpg,,,,glasses
dataset/raw/glasses/glasses_23.jpg,,,,glasses
dataset/raw/glasses/glasses_24.jpg,,,,glasses
dataset/raw/glasses/glasses_25.jpg,,,,glasses
dataset/raw/glasses/glasses_26.jpg,,,,glasses
dataset/raw/glasses/glasses_27.jpg,,,,glasses
dataset/raw/glasses/glasses_28.jpg,,,,glasses
dataset/raw/glasses/glasses_29.jpg,,,,glasses
dataset/raw/glasses/glasses_30.jpg,,,,glasses
dataset/raw/glasses/glasses_31.jpg,,,,glasses
dataset/raw/glasses/glasses_32.jpg,,,,glasses
dataset/raw/glasses/glasses_33.jpg,,,,glasses
dataset/raw/glasses/glasses_34.jpg,,,,glasses
dataset/raw/glasses/glasses_35.jpg,,,,glasses
dataset/raw/glasses/glasses_36.jpg,,,,glasses
dataset/raw/glasses/glasses_37.jpg,,,,glasses
dataset/raw/glasses/glasses_38.jpg,,,,glasses
dataset/raw/glasses/glasses_39.jpg,,,,glasses
dataset/raw/glasses/glasses_40.jpg,,,,glasses
dataset/raw/glasses/glasses_41.jpg,,,,glasses
dataset/raw/glasses/glasses_42.jpg,,,,glasses
dataset/raw/hat/hat_01.jpg,,,,hats
dataset/raw/hat/hat_02.jpg,,,,hats
dataset/raw/hat/hat_03.jpg,,,,hats
dataset/raw/hat/hat_04.jpg,,,,hats
dataset/raw/hat/hat_05.jpg,,,,hats
dataset/raw/hat/hat_06.jpg,,,,hats
dataset/raw/hat/hat_07.jpg,,,,hats
dataset/raw/hat/hat_08.jpg,,,,hats
dataset/raw/hat/hat_09.jpg,,,,hats
dataset/raw/hat/hat_10.jpg,,,,hats
dataset/raw/hat/hat_11.jpg,,,,hats
dataset/raw/hat/hat_12.jpg,,,,hats
dataset/raw/hat/hat_13.jpg,,,,hats
dataset/raw/hat/hat_14.jpg,,,,hats
